--------------------------------------------------------------------------------
Process Logger 2019-04-25 23:38:16.030481
--------------------------------------------------------------------------------
{'vms': 796.8828125, 'username': 'dell', 'pid': 2284, 'name': 'evolution-calendar-factory-subprocess'}
{'vms': 278.76171875, 'username': 'dell', 'pid': 2293, 'name': 'gvfs-udisks2-volume-monitor'}
{'vms': 674.39453125, 'username': 'dell', 'pid': 2296, 'name': 'evolution-addressbook-factory'}
{'vms': 1037.62890625, 'username': 'dell', 'pid': 2298, 'name': 'evolution-calendar-factory-subprocess'}
{'vms': 358.61328125, 'username': 'root', 'pid': 2310, 'name': 'udisksd'}
{'vms': 251.4921875, 'username': 'dell', 'pid': 2320, 'name': 'gvfs-goa-volume-monitor'}
{'vms': 394.1484375, 'username': 'dell', 'pid': 2327, 'name': 'gvfs-afc-volume-monitor'}
{'vms': 265.4765625, 'username': 'dell', 'pid': 2333, 'name': 'gvfs-gphoto2-volume-monitor'}
{'vms': 253.4375, 'username': 'dell', 'pid': 2338, 'name': 'gvfs-mtp-volume-monitor'}
{'vms': 748.125, 'username': 'dell', 'pid': 2347, 'name': 'evolution-addressbook-factory-subprocess'}
{'vms': 342.6015625, 'username': 'dell', 'pid': 2401, 'name': 'gvfsd-trash'}
{'vms': 182.46875, 'username': 'dell', 'pid': 2428, 'name': 'gvfsd-metadata'}
{'vms': 602.72265625, 'username': 'dell', 'pid': 2431, 'name': 'zeitgeist-datahub'}
{'vms': 4.3984375, 'username': 'dell', 'pid': 2438, 'name': 'sh'}
{'vms': 400.64453125, 'username': 'dell', 'pid': 2442, 'name': 'zeitgeist-daemon'}
{'vms': 309.80859375, 'username': 'dell', 'pid': 2449, 'name': 'zeitgeist-fts'}
{'vms': 2262.421875, 'username': 'dell', 'pid': 2483, 'name': 'firefox'}
{'vms': 2494.46484375, 'username': 'dell', 'pid': 2583, 'name': 'Web Content'}
{'vms': 1610.73046875, 'username': 'dell', 'pid': 2636, 'name': 'Web Content'}
{'vms': 1525.11328125, 'username': 'dell', 'pid': 2686, 'name': 'WebExtensions'}
{'vms': 511.734375, 'username': 'dell', 'pid': 2977, 'name': 'update-notifier'}
{'vms': 425.265625, 'username': 'dell', 'pid': 3301, 'name': 'deja-dup-monitor'}
{'vms': 1008.82421875, 'username': 'dell', 'pid': 3387, 'name': 'gvfsd-network'}
{'vms': 353.23828125, 'username': 'dell', 'pid': 3410, 'name': 'gvfsd-dnssd'}
{'vms': 1332.2734375, 'username': 'dell', 'pid': 3473, 'name': 'evince'}
{'vms': 174.3125, 'username': 'dell', 'pid': 3480, 'name': 'evinced'}
{'vms': 482.44140625, 'username': 'dell', 'pid': 3548, 'name': 'notify-osd'}
{'vms': 1667.86328125, 'username': 'dell', 'pid': 4152, 'name': 'Web Content'}
{'vms': 1478.85546875, 'username': 'dell', 'pid': 5707, 'name': 'Web Content'}
{'vms': 0.0, 'username': 'root', 'pid': 6364, 'name': 'kworker/0:2'}
{'vms': 0.0, 'username': 'root', 'pid': 6500, 'name': 'kworker/7:0'}
{'vms': 0.0, 'username': 'root', 'pid': 6530, 'name': 'kworker/3:2'}
{'vms': 0.0, 'username': 'root', 'pid': 6679, 'name': 'irq/130-mei_me'}
{'vms': 0.0, 'username': 'root', 'pid': 6788, 'name': 'kworker/5:0'}
{'vms': 15.74609375, 'username': 'root', 'pid': 6789, 'name': 'dhclient'}
{'vms': 245.69140625, 'username': 'www-data', 'pid': 7199, 'name': 'apache2'}
{'vms': 245.69140625, 'username': 'www-data', 'pid': 7200, 'name': 'apache2'}
{'vms': 245.69140625, 'username': 'www-data', 'pid': 7201, 'name': 'apache2'}
{'vms': 245.69140625, 'username': 'www-data', 'pid': 7202, 'name': 'apache2'}
{'vms': 245.69140625, 'username': 'www-data', 'pid': 7203, 'name': 'apache2'}
{'vms': 0.0, 'username': 'root', 'pid': 7229, 'name': 'kworker/1:0'}
{'vms': 91.046875, 'username': 'root', 'pid': 7233, 'name': 'cupsd'}
{'vms': 268.37109375, 'username': 'root', 'pid': 7234, 'name': 'cups-browsed'}
{'vms': 79.33984375, 'username': 'lp', 'pid': 7235, 'name': 'dbus'}
{'vms': 0.0, 'username': 'root', 'pid': 7331, 'name': 'kworker/4:1'}
{'vms': 3913.12890625, 'username': 'dell', 'pid': 7360, 'name': 'spotify'}
{'vms': 487.00390625, 'username': 'dell', 'pid': 7481, 'name': 'spotify'}
{'vms': 902.3828125, 'username': 'dell', 'pid': 7495, 'name': 'spotify'}
{'vms': 2172.49609375, 'username': 'dell', 'pid': 7511, 'name': 'spotify'}
{'vms': 0.0, 'username': 'root', 'pid': 7619, 'name': 'kworker/u16:1'}
{'vms': 0.0, 'username': 'root', 'pid': 7952, 'name': 'kworker/u16:0'}
{'vms': 0.0, 'username': 'root', 'pid': 8060, 'name': 'kworker/u16:2'}
{'vms': 0.0, 'username': 'root', 'pid': 8133, 'name': 'kworker/2:0'}
