--------------------------------------------------------------------------------
Process Logger Thu Apr 25 23:43:26 2019
--------------------------------------------------------------------------------
{'pid': 1768, 'username': 'dell', 'vms': 397.328125, 'name': 'gvfsd-fuse'}
{'pid': 1779, 'username': 'dell', 'vms': 258.07421875, 'name': 'ibus-dconf'}
{'pid': 1785, 'username': 'dell', 'vms': 466.2890625, 'name': 'ibus-ui-gtk3'}
{'pid': 1789, 'username': 'dell', 'vms': 417.7734375, 'name': 'ibus-x11'}
{'pid': 1794, 'username': 'dell', 'vms': 512.9921875, 'name': 'bamfdaemon'}
{'pid': 1796, 'username': 'dell', 'vms': 32.0234375, 'name': 'upstart-dbus-bridge'}
{'pid': 1798, 'username': 'dell', 'vms': 32.0234375, 'name': 'upstart-dbus-bridge'}
{'pid': 1802, 'username': 'dell', 'vms': 40.31640625, 'name': 'upstart-file-bridge'}
{'pid': 1818, 'username': 'nobody', 'vms': 51.625, 'name': 'dnsmasq'}
{'pid': 1852, 'username': 'dell', 'vms': 183.97265625, 'name': 'ibus-engine-simple'}
{'pid': 1857, 'username': 'dell', 'vms': 162.6328125, 'name': 'gpg-agent'}
{'pid': 1976, 'username': 'dell', 'vms': 642.39453125, 'name': 'hud-service'}
{'pid': 1978, 'username': 'dell', 'vms': 916.9296875, 'name': 'unity-settings-daemon'}
{'pid': 1991, 'username': 'dell', 'vms': 330.1015625, 'name': 'at-spi-bus-launcher'}
{'pid': 1992, 'username': 'dell', 'vms': 553.6015625, 'name': 'gnome-session-binary'}
{'pid': 1998, 'username': 'dell', 'vms': 41.8828125, 'name': 'dbus-daemon'}
{'pid': 2009, 'username': 'dell', 'vms': 555.18359375, 'name': 'unity-panel-service'}
{'pid': 2013, 'username': 'root', 'vms': 339.234375, 'name': 'upowerd'}
{'pid': 2015, 'username': 'dell', 'vms': 202.01171875, 'name': 'at-spi2-registryd'}
{'pid': 2060, 'username': 'dell', 'vms': 346.12890625, 'name': 'indicator-messages-service'}
{'pid': 2061, 'username': 'dell', 'vms': 397.59765625, 'name': 'indicator-bluetooth-service'}
{'pid': 2062, 'username': 'dell', 'vms': 556.6640625, 'name': 'indicator-power-service'}
{'pid': 2065, 'username': 'dell', 'vms': 1332.04296875, 'name': 'indicator-datetime-service'}
{'pid': 2068, 'username': 'dell', 'vms': 697.87890625, 'name': 'indicator-keyboard-service'}
{'pid': 2073, 'username': 'dell', 'vms': 648.1171875, 'name': 'indicator-sound-service'}
{'pid': 2074, 'username': 'dell', 'vms': 534.68359375, 'name': 'indicator-printers-service'}
{'pid': 2075, 'username': 'dell', 'vms': 930.55859375, 'name': 'indicator-session-service'}
{'pid': 2101, 'username': 'dell', 'vms': 489.1171875, 'name': 'pulseaudio'}
{'pid': 2113, 'username': 'dell', 'vms': 393.69921875, 'name': 'indicator-application-service'}
{'pid': 2125, 'username': 'dell', 'vms': 174.6015625, 'name': 'dconf-service'}
{'pid': 2132, 'username': 'dell', 'vms': 1213.7734375, 'name': 'evolution-source-registry'}
{'pid': 2157, 'username': 'dell', 'vms': 21.84375, 'name': 'syndaemon'}
{'pid': 2172, 'username': 'dell', 'vms': 893.4609375, 'name': 'tracker-miner-fs'}
{'pid': 2173, 'username': 'dell', 'vms': 563.328125, 'name': 'unity-fallback-mount-helper'}
{'pid': 2174, 'username': 'dell', 'vms': 1375.35546875, 'name': 'gnome-software'}
{'pid': 2178, 'username': 'dell', 'vms': 1242.0546875, 'name': 'nm-applet'}
{'pid': 2179, 'username': 'dell', 'vms': 419.28515625, 'name': 'polkit-gnome-authentication-agent-1'}
{'pid': 2187, 'username': 'dell', 'vms': 1377.1484375, 'name': 'nautilus'}
{'pid': 2191, 'username': 'dell', 'vms': 318.984375, 'name': 'tracker-miner-user-guides'}
{'pid': 2201, 'username': 'dell', 'vms': 435.98828125, 'name': 'tracker-store'}
{'pid': 2223, 'username': 'dell', 'vms': 1127.85546875, 'name': 'tracker-extract'}
{'pid': 2226, 'username': 'colord', 'vms': 294.05859375, 'name': 'colord'}
